category,jobDescription
Database Administrator,job requirement configure maintain database server process including monitoring system health performance ensure high-levels performance availability security apply data modeling technique ensure development implementation support effort meet integration performance expectation independently analyze solve correct issue real time providing problem resolution end-to-end refine automate regular process track issue document change assist member database system team developer complex query tuning schema refinement perform scheduled maintenance support release deployment activity hour responsible ensuring scheduled job backup etl load item executed correctly ability design create implement new concept quickly ability design create implement new concept quickly ability adapt sudden change priority requirement able multi-task fast-paced environment manage time effectively good communication skill written oral excellent organization skill calm pressure excellent attention detail strong interpersonal skill mature judgment ability communicate technical issue level required education experience bachelor 's degree computer science equivalent work experience understanding potential performance bottleneck good working knowledge sql server database engine including locking transaction concept 6+ year experience sql server experience sql server 2016 2017 strongly preferred experience third party monitoring tool preferred experience t-sql windowing function plus candidate must u citizen security clearance requirement security plus certificate preferred eoe/minorities/females/vet/disabled \- qualified applicant receive consideration employment without regard race color religion sex national origin gender identity disability protected veteran status
Database Administrator,fuelx leading commerce indexing company technology leverage real- time data processing machine learning predict online shopping behavior drive conversion brand use digital advertising platform growing team 're looking people join u mission index world 's commerce data looking database administrator join team ! responsibility track resolve database related incident provide 24x7 call support implement ha solution backup/recovery restore strategy monitor application related job data replication activity setup maintain documentation standard work data engineer application engineer define implement product functionality plan growth change capacity planning perform general technical trouble shooting give consultation development team qualification 3+ year experience nosql database mongodb cassandra elastic etc 3+ year experience relational database mysql oracle 2+ year managing highly available scalable production system fast-paced production environment experience cloud service google cloud aws azure hand-on scripting automate database monitoring/alert build maintenance data integrity good knowledge oltp data warehouse database system schema design good knowledge data integrity sound knowledge database system performance tuning scaling strong linux/unix skill strong communication collaboration skill “ get thing done ” “ ’ look back attitude talk fire build scalable solid solution team player mentality bonus point experience automation tool chef/puppet experience programming language python experience etl processing monitoring good knowledge security management fuelx inc. doe participate e-verify
Database Administrator,summary enrollment advisor advise educate consult support qualified potential student achieving professional personal goal enrolling one higher education program student lead provided monitored thing quality outbound call inbound call lead contact activity application attitude working relationship communication major area accountability assist student enrollment process answering question directing critical information clarifying admission process build rapport provide guidance student interested obtaining degree receive follow-up potential student via videoconference phone email fax direct mail student inquiry relating obtaining advanced degree provide essential information related admission requirement enrollment process prospective student ass potential applicant determine qualified apply enroll various degree program qualify advise student various academic program search analysis transcript ; determines whether transcript satisfy prerequisite completion ; record result database ; track reevaluates application status new transcript received consult admission staff university department ensure excellent student experience performs duty support university ’ core value ; keep abreast state-of-the-art development attendance professional meeting seminar literature ; etc travel position may require local driving and/or overnight travel campus education and/or experience bachelor ’ degree preferred minimum three year ’ customer service account management relationship building experience ability work collaboratively part team interact effectively colleague administrator faculty member student well external constituency familiarity need international student diverse student population proficiency microsoft office suite outlook word excel powerpoint excellent telephone skill experience student management system associated technology valid driver ’ license state residence least minimum liability insurance required state ability travel within united state necessary
Database Administrator,project manager computershare global market leader transfer agency share registration employee equity plan mortgage servicing proxy solicitation stakeholder communication also specialize corporate trust bankruptcy class action utility administration range diversified financial governance service founded 1978 computershare renowned expertise high integrity data management high volume transaction processing reconciliation payment stakeholder engagement many world ’ leading organization partner u streamline maximize value relationship investor employee creditor customer computershare represented major global financial market ha 16000 employee worldwide key delivering exceptional value outcome career opportunity span many business unit including computershare loan service kurtzman carson consultant – join growing team financial service professional ! job summary work closely team sql & oracle dba ’ design implementation support enterprise standard database based business requirement ’ drive implementation new technology stabilization security strategy install support new software tool plus ’ responsible various database activity includes monitoring tuning capacity troubleshooting consulting position responsibility & essential function performance tuning capacity planning complete request research inquiry customer integration acquisition ct platform stack database migration recent version documentation standardization participate on-call rotation duty task assigned management information description ha designed indicate general nature level work performed employee within classification designed contain interpreted comprehensive inventory duty responsibility qualification required employee assigned job qualification perform job successfully individual must able perform essential duty satisfactorily requirement listed representative knowledge skill and/or ability required reasonable accommodation may made enable individual disability perform essential function skill required effective communication skill verbally written ability work independently fast-paced environment ability work complex issue pc literate knowledge microsoft office product tsql coding debugging performance tuning knowledge sql server component ssis ssa ssrs experience high availability solution limited always availability group database mirroring preferred advanced use office internet information source application experience virtualized environment knowledge experience window powershell experience disaster recovery knowledge sql server dmv ’ way correlate data diagnose issue basic understanding network topology san technology general understanding active directory e-mail collaboration web monitoring management database storage load balancing netbios vpn backup data replication concept change management concept project planning education experience required bachelor 's degree b four-year college university ; two four year related experience and/or training ; equivalent combination education experience minimum 3 year related experience experience supporting administering large scale enterprise level software system travel required expected position may include travel 10 time subject change based many factor including business need language ability ability read/analyse/interpret business periodicals/ journals/technical procedures/gov regulation ; write reports/business correspondence/procedure manual ; effectively present information/respond question managers/clients/customers/public mathematical ability ability calculate figure amount discount interest commission proportion percentage area circumference volume ability apply concept basic algebra geometry work environment work environment characteristic described representative employee encounter performing essential function job reasonable accommodation may made enable individual disability perform essential function noise level environment moderate physical requirement physical demand described representative must met employee successfully perform essential function job reasonable accommodation may made enable individual disability perform essential function performing duty job employee regularly required talk hear employee frequently required sit stand walk reach hand arm use hand finger handle feel employee may occasionally reason lift 10 pound vision requirement include close distant vision computershare equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex sexual orientation gender identity expression national ethnic origin age disability protected veteran status characteristic protected applicable law job specification construed imply requirement exclusive standard position incumbent follow instruction perform related duty may required business need communicated supervisor
Database Administrator,world 's leading video ecommerce retailer qvc ha history growth success go unmatched $ 8.8 billion business reach 300 million home worldwide qvc continues grow on-line on- air mobile ranked 3 largest mobile commerce player among multi-category retailer nearly 3 million downloads qvc apps iphone ipad u uk germany global organization expanding search tech talent join high performing team innovative technology-driven company embrace corporate responsibility committed people u headquarters located outside philadelphia west chester pa whether ’ coming center city airport suburb regional rail service qvc shuttle service provides stress-free daily commute work database administrator qvc professional managing designing & supporting db2 z/os plus database platform db2 luw sql server job description detail essential duty responsibility executes defined product lifecycle manages product lifecycle component infrastructure assure operational availability proposes change implementation gather data analyzes capacity performance analyzes current state infrastructure identifies opportunity improvement contributes change established roadmaps document effectively executes implementation change area responsibility provides ongoing support troubleshooting installed technical solution analyzing chain event applying technical knowledge following established procedure standard implement and/or support implementation new technology area infrastructure promotes technical standard support migration effort future infrastructure contributes disaster recovery contingency plan related area infrastructure applicable prepares documentation describes installation operating procedure including system build configuration guide limited guidance provides first/second level troubleshooting technical operational support escalate appropriate medium large sized application infrastructure project interface business analyst project manager application developer business client clarify requirement make technology decision manages project support work 24x365 global application system lead participate swat team involving application direct impact company ’ bottom line customer perspective company global perspective lead technical design execution medium large sized application infrastructure project involve multiple inter-related technology multiple vendor leading edge technology great operational implementation risk planning execution system impact company ’ bottom line future lead development analysis rfps rfis related domain medium large size project work vendor qvc procurement legal ensure success review capacity usage performance assigned technology core system based business metric understands performance threshold analyzes interprets data determine issue make recommendation ensure optimal performance reliability mission critical global enterprise system direct impact company ’ bottom line customer perception lead evaluation new technology relative domain make strategic recommendation analyzes current state infrastructure identifies opportunity improvement proposes design change review senior engineer proposes change established roadmaps document effectively implement change area responsibility performs advanced troubleshooting may involve significant choice many different possible procedure address problem solves problem independently communicates client guidance understand explain business technical issue respond user problem explain new technology present deliverable effectively probe user determine actual nature underlying cause user problem produce basic documentation clear concise manner adhering standard share knowledge effectively within team form productive internal network client vendor colleague may lead technical execution phase small moderate sized application infrastructure project work senior engineer larger project may assist technical design guidance senior engineer participates review vendor proposal receives general direction ; work typically reviewed periodically must able explain support decision made analyzes client need develops unique solution chooses approach procedure addressing work task applying multiple varied option selects appropriate work procedure approach address technical challenge make determination escalate problem based level experience comfort subject matter identifies opportunity improvement provides recommendation leadership established procedure slas specific job knowledge demonstrates proficiency db2 z/os experience db2 luw sql server plus independently evaluate resolve problem posse solid understanding current infrastructure build expertise domain also developing knowledge emerging technology understands client requirement impact technical direction solution understands organization structured current technology support affect business posse good working knowledge different area organization refer typical request go assistance developing basic understanding retail industry understands impact role regulation law company policy standard procedure qualification education experience typical candidate posse 8+ year relevant experience b degree computer science related field equivalent experience db2 database administrator dba engineer qvc inc. wholly owned subsidiary liberty interactive corporation nasdaq qvca qvcb world ’ leading video ecommerce retailer qvc committed providing customer thousand innovative contemporary beauty fashion jewelry home product programming distributed approximately 300 million home worldwide operation u.s. japan germany united kingdom italy joint venture china based west chester pa. founded 1986 qvc ha evolved tv shopping company leading ecommerce mobile commerce retailer company ’ website qvc.com ranked among top general merchant internet site qvc q q ribbon logo registered service mark er mark inc. equal opportunity employer qvc committed diverse workforce also committed barrier-free employment process order ensure reasonable accommodation individual pursuant applicable law individual require accommodation job application process posted position may contact u careersus @ qvc.com assistance
Database Administrator,kirkland & elli kirkland & elli llp preeminent full-service law firm office around world staff diverse practice area support client range fortune 100 company medium small corporation financial institution private equity firm known commitment excellence kirkland strives provide superior service client well fellow employee information technology human resource paralegal service business development kirkland offer non-attorney professional challenging career variety functional area whether starting growing career kirkland offer performance-driven culture filled bright innovative team co-worker essential job function database administrator ii responsible deployment administration maintenance database hosted microsoft sql server platform.this person work member firm wide database administration team provides advanced level 3 support sql server environment.they investigate operational systematic problem provide resolution using advanced analytical skill tool necessary well responsible analyzing database performance issue recommending tuning change improve performance.they assist various project team completing project advanced level complexity essential function support administer maintain development test production environment work project team comprised project manager developer application vendor application engineer application user provide dba support database deployment upgrade create maintain sql server integration service ssis package review deploy administer security sql server reporting service ssrs report troubleshoot server database performance problem identify solution resolve problem administer sql server security protect sensitive data adhere firm ’ service delivery standard change control process adhere firm ’ security governance requirement across administered application develop maintain troubleshooting configuration integration documentation administered system function primary backup dba assigned application working knowledge database application work server engineer storage engineer network engineer resolve issue prevent downtime provide 24x7 operational support on-call support responsibility rotated among member dba team qualification & requirement _education work experience skills_ database administrator ii must ba/bs computer science related field equivalent experience 5+ year ' experience microsoft sql server administration ideal candidate must good judgment problem-solving oral written interpersonal communication skill well ability work fast-paced environment build positive working relationship addition candidate must self-motivated organized able multi-task effectively prioritize competing demand database administration experience sql server 2008 r2 2012 2014 2016 proficiency transact-sql including ability write debug maintain script stored procedure function view experience configuring maintaining replication log shipping database mirroring experience installing configuring sql server virtual machine stand-alone server experience developing ssis package experience optimizing administering ssrs report solid understanding normalized database design modeling optional skill working knowledge idera redgate sentryone database tool proficiency powershell scripting experience ssrs report development experience setup administration always availability group experience installing configuring sql server fail-over cluster _technologies/software_ core technology microsoft sql server enterprise standard & express edition database engine integration service reporting service replication log shipping & database mirroring transact-sql microsoft window server enterprise & standard edition microsoft fail-over clustering san storage third-party sql server tool & utility microsoft office including visio structured programming scripting e.g powershell vbscript visual source safe ftp & sftp current k & e technology sql server 2008 r2 2012 2014 & 2016 sql server integration service 2008 r2 & 2016 sql server reporting service ssrs 2012 transactional & merge replication synchronous & asynchronous database mirroring transact-sql script stored procedure function & view window server 2012 r2 & 2016 server virtualization solution hyper-v & vmware idera diagnostic manager & admin toolset redgate sql monitor sql compare & sql data compare sentryone sql sentry cozyroc ssis+ microsoft office 2016 microsoft outlook 2016 powershell 4.0
Database Administrator,looking sql server dba / database engineer join 6-person hosting operation team tewksbury run large set distributed service support 24x7 saas application used organization sole proprietor fortune 500 company across globe hosting operation team consists site reliability engineer database engineer deep experience hosting cloud provider like aws ibm cloud ’ built extensive modern devops framework ’ looking add engineer want ’ operate expand vision role responsibility manage sql postgresql server database across multiple software development lifecycle environment configure monitoring tool measure system health ensure high level performance availability security participate development implementation support effort meet db performance expectation analyze solve correct database-related issue real time support service group configuring bulk etl operation author query custom reporting optimize stored procedure continually refine devops automation management database system participate weekly 24x7 rotation support production system perform scheduled maintenance support software deployment activity hour act sme continually improve training documentation capability ops team peer across company 7+ year sql server administration experience required 3+ year postgresql experience experience upgrading database server migrating different sql solution experience backup restores replication strategy knowledge ha dr option sql server working knowledge ssis experience working window server including active directory interest working sql deployment linux excellent written verbal english communication skill flexible team player take initiative ability organize plan work independently
Database Administrator,campus administrator help coordinate campus operation communication facility-management well staff congregational support position responsibility primary office manager campus campus team assist campus pastor general operating budget manage campus reception process walk-in ’ delivery visitor manage purchasing facility office supply manage campus upkeep maintenance working facility vendor ensure facility upkeep cleaning maintenance request manage facility scheduling support coordinate campus- project event assigned cp—e.g campus communication campus newsletter website update etc keep calendar updated events/programs—internal / external manage campus process campus central communication primary owner f1 database – ensure remains updated accurate coordinate membership process central ministry assist flow offering & collected monies including safe logistics & weekly count recruit lead volunteer ministry area including safety team duty assigned position qualification strong administrative relational skill highly organized detail-oriented flexible particularly dealing multiple “ moving part ” priority strong communication skill – clear direct personable demonstrated project management skill proactive reliable team player – e.g ask help needed ask question needing clarity experience office management experience recruiting managing volunteer ability manage multiple on-going project ability multi-task high energy strong interpersonal skill positive attitude ability write and/or edit campus communication content ability recruit lead volunteer ability use excel outlook word fellowship one mail chimp ability manage social medium account preferred ... christ may formed others
Database Administrator,position overview database administrator responsible supporting master data input bpcs sap guidance senior dba/quote analyst scope position includes developing comprehensive understanding mechanic financial supply chain operational software encompassing global support job description maintain master data including item bill material & routing setup ensure master alignment new existing program 1st production setup npc 's notification process change tip 's test production & spin 's single part identification number required lead customer quoting activity specified oem 's including quote creation commercial management integrated pa pricing analysis process within role work closely commercial management process engineering team ensure accurate price proposal submitted end customer communicate coordinate production facility & program management program set ups transfer accurately timely set erp master data npc ’ tip ’ spin ’ 1st production set ups lead customer quoting activity specified oem ’ support financial integrity pricing accuracy ensuring data integrity following proper policy procedure identify streamlining and/or improvement opportunity current process system job qualification bachelor 's degree business administration and/or supply chain management preferably 2-3 year manufacturing environment preferably email excellent written oral communication skill knowledge microsoft office excel word & outlook required skill required experience
Database Administrator,turn 5 one largest fastest growing e-commerce retailer greater philadelphia area best known award-winning e-commerce platform americanmuscle.com extremeterrain.com americantrucks.com ’ engaging car enthusiast exceptional product service experience since 2004 purpose however extends beyond selling car part commitment creating meaningful customer experience every step journey whether ’ supplying unique product customizes look feel ride providing thousand educational video diyer leveraging user generated content inspire even experienced owner obsessed ensuring reach many like-minded gearheads across globe continue growth path need database administrator manage multiple database environment premise azure 24/7 ecommerce business diverse role requires blend strong technical acumen along ability identify analyze resolve problem logically systematically report back business challenged work strategically tactically support key initiative business goal one minute might troubleshooting resolving bottleneck issue next minute monitoring optimizing system performance next developing deploying etl script regardless task ’ critical strong situational awareness detail orientation relates communication documentation responsibility year 1 going managing multiple sql environment resolve bottleneck issue monitoring optimizing system performance maintaining scheduled process sql server agent ensuring ’ robust disaster recovery strategy place applying update existing sql server environment installing/configuring sql server new servers/clusters needed developing deploying etl script utilizing application ssms ssis ensuring timely successful execution based assigned schedule implementing monitoring ensuring high availability sql server database failover cluster alwayson database replication qualification ’ skip specific skill experience know “ must ” successful need b computer science related field minimum 4 year experience database administration sql server version 2012 2014 2016 enterprise setting proficient use advanced level t-sql developing storied procedure trigger table function index etc performing tuning sql query posse strong foundational knowledge understanding relational non-relational database platform e.g document graph hadoop couchbase data visualization tool eg tableau strong communication documentation skill option apply job onlineapply share email job friendrefer share newsfeed
Database Administrator,world leader testing inspection & certification service bureau veritas offer dynamic exciting employment opportunity attractive salary/benefit package opportunity play vital role global organization would enjoy working dynamic environment looking opportunity become part stellar team professional invite apply online today bureau veritas equal opportunity employer recruit hire train promote person job classification without regard race color religion sex national origin disability age marital status citizen status sexual orientation genetics status protected veteran non-job-related characteristic position responsible ensure equal opportunity employment person treated equally basis merit decision regarding selection placement promotion training work assignment transfer personnel action city houston state texas database administrator primary responsibility acquire apply intermediate knowledge database design management including modeling creation maintenance database object apply in-depth understanding database tool utility least one dbms platform well highly developed sql database performance tuning skill perform evaluation modification integration function associated vendor supplied database software ensure business continuity developing implementing highly available database system database recovery plan procedure liaise database software vendor external technical support issue serf resource le experienced team member escalated issue routine nature minimum requirement bachelor 's degree equivalent work experience 3+ year relevant database design administration and/or systems/development life cycle experience experience technical programming language and/or database design database management system experience working traditional rdbms experience writing automating database maintenance process monitoring experience providing appropriate database performance tuning support regard storage i/o bufferpools query access plan assessment creation required database structure including index experience providing project database consulting oversight complex project including physical design query analysis database implementation preferred experience working oracle individual disability would like u assist searching career page site employment opportunity and/or assistance completing profile application please contact u 1-888-357-7020 email u request usinfor @ us.bureauveritas.com happy assist encourage consider bureau veritas next great career opportunity ! would like additional information regarding bureau veritas ' federal obligation regard equal employment opportunity please click link http //www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf
Database Administrator,announcement number 18-13 court u.s. court appeal first circuit city state boston court website http //www.ca1.uscourts.gov permanent position permanent job grade cl 25-27 minimum salary $ 44711 maximum salary $ 80064 closing date 08/24/2018 position description circuit executive 's office united state court appeal first circuit seek application position programmer/systems administrator information technology department united state court appeal first circuit court review decision district court within first circuit includes district maine massachusetts new hampshire rhode island puerto rico court also review decision federal administrative agency united state tax court bankruptcy appellate panel circuit executive 's office provides policy development administrative technical staff support judge court unit within first circuit position remain open filled preference given application received august 24 2018 programmer/systems administrator performs professional work related designing modifying adapting existing software setting-up maintaining computer system occasional travel may required representative duty include limited coordinating team court staff develop implement application automate court operation ; assisting planning design development acquisition operation integration maintenance various application equipment network operating within first circuit ; creating maintaining enhancing application using variety programming language ; developing custom report multiple department within various court unit ; administering maintaining supporting case management/electronic case filing cm/ecf program ; performing duty assigned qualification minimum qualification knowledge / familiarity following programming language html perl php java javascript vb vbscript xml jason web service ; knowledge / familiarity following technology informix dynamic server sql enterprise server mysql access microsoft window server 2008 linux share point drupal ii apache office 2010 ; least one year specialized work experience closely related work position ha demonstrated particular knowledge skill ability perform duty position preferred qualification bachelor 's degree computer science management information system related discipline preferred ; certification system management database administration also preferred ; experience cm/ecf strongly desired ; ability work independently limited supervision well team environment ; strong organizational skill proven ability prioritize multiple demand meet established deadline commitment ; ability communicate effectively orally writing wide variety people ; attention detail ability exercise common sense good judgment fast-paced environment rapidly shifting priority benefit federal benefit include paid vacation sick leave health benefit life insurance flexible benefit program long-term care retirement benefit tax-deferred saving plan miscellaneous successful candidate subject background check investigation includes fbi fingerprint check condition employment employee retention depends upon favorable suitability determination applicant must united state citizen permanently eligible work united state federal financial management reform act requires direct deposit federal wage court employee required adhere code conduct successful completion six-month probationary period required court appeal employee `` '' employee serve pleasure court court communicate qualified individual invited interview court reserve right modify condition job announcement withdraw announcement either may occur without prior written notice subsequent vacancy similar characteristic position becomes available within reasonable time original announcement court may elect select candidate original qualified applicant pool equal opportunity employer apply submit following document 1 cover letter 2 resume 3 completed ao-78 application federal judicial branch employment version dated 10/09 joanne m. cull human resource administrator office circuit executive u.s. court appeal first circuit john joseph moakley u.s courthouse 1 courthouse way suite 3700 boston 02210 application also accepted via email pdf format ijobs @ ca1.uscourts.gov application form ao-78 available http //www.ca1.uscourts.gov/sites/ca1/files/ao078.pdf note application include requested information deemed incomplete considered
Database Administrator,role looking talented senior database administrator specialized mysql aurora database work leading commerce platform take operation high transaction volume database high- profile customer webstores successful candidate part platform operation team must demonstrate solid knowledge experience managing high volume transactional database database performance tuning sql tuning provide great customer experience scale accordingly absorb high traffic volume generated high impact flash campaign candidate ensure good health database also provide required monitoring logging alerting setup global command center actively monitor keen eye recognizing driving inefficiency taking initiative simplify process customer afraid relentlessly escalate consistently raise bar skill customer service deep understanding iaas/paas/saas best practice technology 'll architect design implement high performance scalable database fulfill customer need ensure availability enhance maintain database ecosystem identify slow query perform sql tuning provide best possible performance foster sql knowledge best practice generate efficient sql code engineering team follow promote quality best practice side software engineering platform operation actively participate high level team activity architecture process improvement practice sustainable incident response blameless postmortems/retrospectives engage improve whole lifecycle operational services—from inception design deployment operation refinement 'll need 5+ year ’ experience working paas/saas managing mysql/aurora database providing critical 24x7 uptime sr database administrator experience working mysql/aurora database high transactional environment experience working hyperscale cloud provider aws azure gcp etc. understands lamp architecture stack os/webserver/database application along aws/network/waf/cdn experience using/implementing ci/cd framework application deployment git jenkins composer etc. infrastructure provisioning tool chef/puppet ansible terraform etc. extensive infrastructure automation via shell scripting python bash etc. extensive experience monitoring / logging / alerting system experience using problem incident manager solution experience using kekb known-error knowledge base intellectual curiosity pursue unknown continuously learn ability work fast-paced dynamic environment good communication skill desire work team-based environment 'd love see mysql/aurora certification database experience/certifications sql/non-sql experience lean six-sigma kaizen itil certification working magento working magento mean becoming part one fastest growing commerce solution company planet 240000 merchant rely u fuel growth career magento put cutting-edge commerce industry offer many opportunity advancement part family product service ’ also gain valuable exposure wealth commerce knowledge experience global customer employee base world-class resource ’ always looking talented people want help shape future commerce believe power collaboration
Database Administrator,summary/objective full-time exempt position work collaboration advancement team creating report generating targeted mailing list assisting research stewardship donor management position require user support needed essential function reasonable accommodation may made enable individual disability perform essential function 1\ support maintains database application maintain donor profile ensure gift agreement received properly filed implement ensure acknowledgement protocol 2\ conduct system tuning performance monitoring database maintenance support maintains raiser ’ edge data integrity maintains raiser ’ edge database application 3\ develops report custom request user develops maintain accurate gift report develops maintains custom report create targeted mailing list donor group program review mailing list ensure data integrity appropriate group included maintain list donor recognition jcc magazine website permanent recognition maintain updated list naming opportunity work advancement staff prepare stewardship report creates report required 4\ assist cao additional administrative support user support needed track donor engagement step report progress track grant timeline submitting reporting research corporate foundation grant maker research potential current donor prepare material information needed donor meeting physical demand largely sedentary role ; however filing required would require ability lift file open filing cabinet bending standing stool necessary position type/expected hour work flexibility hour allowed employee must available “ core ” work hour 8:30 a.m. 5:00 p.m required education experience 2+ year related experience working fundraising working non-profits working fundraising database knowledge reporting creation targeted mailing list researching individual corporation foundation knowledge accounting donor recognition additional eligibility qualification prior experience raiser ’ edge daxko software program plus ! computer knowledge required microsoft outlook microsoft work microsoft excel microsoft power point mail merge mips preferred camp minder preferred fundraising database duty please note job description designed cover contain comprehensive listing activity duty responsibility required employee job duty responsibility activity may change time without notice
Database Administrator,position summary art science seeking dynamic department administrator join department hebrew judaic study individual oversee departmental operation staff provide administrative support department provide input recommendation advise chairperson executive committee departmental policy planning issue administer budget coordinate tenure review process plan department event qualification required education bachelor 's degree required experience 3 year ' relevant administrative experience equivalent combination must include experience supervising departmental operation staff administering budget preferred experience experience higher education non-profit environment required skill knowledge ability ability provide advice problem solve interact individual level excellent interpersonal writing skill familiarity word processing spreadsheet database software additional information eoe/aa/minorities/females/vet/disabled/sexual orientation/gender identity
Database Administrator,coordinator database - foundation raiser 's edge - lon004223 description database administrator responsible comprehensive database support analysis annual fund major planned gift marketing communication event memorial medical center foundation mmcf database administrator part high-performing team together implement comprehensive development program identifying cultivating soliciting stewarding annual major planned gift donor prospect restricted unrestricted need support mmcf ’ mission essential job outcome & function _database management_ coordinate aspect database including posting/acknowledging gift updating record updating action generating report analyzing data working database vendor implementing import/export project coordinating data cleansing project control/code table maintenance including managing appeal fund campaign system coding _data support_ provide support related donor lists/reports event annual giving direct mail project major gift planned giving prospect develop review data management data processing system promote support donor prospect strategy goal includes timely movement tracking donor prospect pipeline evaluation cultivation step perform prospect research request documentation assist foundation staff identify data wish capture record raiser edge assist director annual giving determining best structure creating testing implementing standard query raiser ’ edge user run discretion well query ensure integrity database timely efficient manner developing excel spreadsheet tool manipulate data raiser 's edge tool insufficient interacts necessary departments/divisions particularly finance hospital program analyze gather report requirement generating criterion output liaises database user recommend assist implementation new improved process _general development support_ provide vision support information deployment technical enhancement foundation ’ infrastructure fundraising activity initiative provide general support fundraising staff keep abreast fundraising database field appropriate list-serves blog website publication webinars conferences/seminars share development staff duty assigned qualification qualifications/work experience 2-3 year experience working non-profit development proficiency using donor database preferably raiser 's edge nxt proficient microsoft office suite understanding development fundamental healthcare fundraising plus excellent interpersonal communication skill ability explain highly technical concept process clearly team member high attention detail data entry accuracy ability meet deadline ability manage multiple complex task and/or project simultaneously maintain composure pressure strong organizational writing analytic skill ; ability develop complex analytical document graphs/dashboards strong individual work ethic well team player education/licensure/certification bachelor 's degree preferred certification advanced training database desired
Database Administrator,database administrator / dba passionate postgresql database data problem relish opportunity tune database optimize query design schema write report 've never encountered query 's fast enough big data doe scare 're comfortable working highly-available highly- transacted production database well data analytics 've worked open-source database 're comfortable keen learn new database technology enjoy working fast-paced environment 're tied technology love keep up-to- date new trend role part fun fast-paced highly collaborative team delivers new platform functionality stability performance improvement working postgresql greenplum database work closely software engineering team implement new database feature write complex sql statement review data definition update work analytics business team optimize query create ad-hoc report work initiative database administration including backup scripting processing data data warehousing redundancy replication high availability strategy work member engineering team maintain greater 99.99 platform uptime ensure query running optimally also well-versed tableau extract creation location position ideally based in-house san francisco headquarters flexibility considered right candidate responsibility manage maintain troubleshoot database data model support business web data warehouse application ensuring service operational 24x7x365 work team member tune postgresql database meet new functional performance release resolve complex database problem research analysis expertise perform database monitoring maintenance reorganization resource management schema management capacity planning work analytics team create optimize query report manage maintain tableau analytics infrastructure qualification strong desire learn rdms large data set experience postgresql tableau greenplum strong unix/linux knowledge experience scripting language bash python perl ability provide support development test production environment ability work independently solution focused detail orientated excellent interpersonal communication skill oral written english desired experience knowledge b.s degree computer science knowledge postgresqltableau greenplum technology passion data experience postgresql streaming replication passion new trend feature data community able bring best practice solving database overall application related problem avid open source supporter u switchfly comprehensive enterprise saas provider travel loyalty solution flexible white-label platform power personalized feature rich localized website global brand travel financial service ecommerce continually improving high-availability high-traffic solution client switchfly technology power user experience global brand core business whether building technology solution growing client ' business making daily life switchfly rewarding employee switchfly dedicated success offer competitive compensation comprehensive benefit package convenient downtown san francisco location within walking distance bart/muni montgomery street station caltrain ferry building emphasize teamwork getting thing done `` people '' consistently top team-member-voted reason motivates switchfly offer employee chance work smart fun people exciting project sizable opportunity growth intensely driven smart results-focused ? thrive open collaborative team environment ? let 's talk !
